year,filename,clean_text
1945,1945_GreenDesk-0001.txt,
1945,1945_GreenDesk-0002.txt,14 mary george 194
1945,1945_GreenDesk-0003.txt,deak priate 194 date guide date gusde efficient quide busy day also records appoint ments days come personal diary calendar pad combined utmost convenience book wree lasr lirkrins cover even water repellent kept vears permanent record daily use throughout vear write lives fortunes reputations saved memorands written decisions observations made exhibition dated notations vital almost every controversy book built serve purpose including general information facts dates easy find convenient form obooks 1 new tobe crry 1944 mary u.s.
1945,1945_GreenDesk-0004.txt,calendar 1945 1945 april january february march 31 f171915 senter may 1915 satust 2345 23456 56 11891 678911 8910 111211 9101112113 14 1415 191718 1920 111213 1415 1917 111213 1415 1917 15 19 1718 192021 2112223 2425 2627 181920 212223 241 18 1920 212223 24 22232425 26 2728 25262728 282930:31 2526271282930 31 29:30 111 may august sune july safter sentirls satunter satust 11213 456 2134 112134 345 910111 6 189191 8910 1112131 13 1415 191718 19110 111213 14151 1516 1718 1920 211 1213 1415 16 1718 20212223 24 252617181920 21222 22232425262728920212223 2425 272829:30 31 24252627 28 29:30 2930 311 262712829:30 311 october september december november senturs st firs sember satundays 11213451 45 7 8910 33 5 78910 11121 33 910111213 141 910 111213 141 15161718 1920 111213 1415 191718 1920 212 2223 242526 27 181920212223 241 1917 18 192021 23 245262728 2928293031 252627 282930 123242526 2728 13031 calendar 1046 1046 february april march january starairls sintrin finis sunentirls sunesdays 213451 112134 910111 718910 112 345 10 11 1213 141 131415 1917 18 19110 11 1213 14 1415 16 1718 19 1718 1920 212 120212223 2425261718 1920212 2122232456 27282930 341 1242526 2728 1242526 2712829301282930 t.v s.s.s u.s.s.s.s.s july may august sunt sunday tues sunenter 31 fter 15 septe 213 11213 456 1 21345 8910 111211 1516 1718 192 91041 1213 14 1213 145 16 171 1412 13 14151 1920212223 24 18 1920 211222 2223 2425262 19178 192021 291282930 31 125 25 2728293031 26271282930 3123 2425262 t.v.130 u.s.s.s.s.s.s.s.s.s.s.s.s october september november december frirls sunday first sunenter 3 jay 2151 1121345 t. t.v 11 2134 21345 8910ill 345 67 8 91011 8910 151917189221113 1415 191718 19110 112113 1415 16115 191718 1920 21 22232456 28 2122123 24 25261718920 21222312223 2425 26 27 28 2930.1271282930 31 12425 26272829:30:293031 aprdantent5 memonda reminder 1945 january aug 1949 january 1965 january 1965 satv sat sat wte 1 45 18 151 345 14 15 16 17 18 19 20 1071 1213 14 15 10 1118 13 14 1916 17 18 1920 21 22 2321 22 23 24 25 26 27118 19 20 21 22 23 24 24 25 26 27 28 2930 28 2930325 26 278 monday got pretty early worked dalls till noon nice dinner stadys sent fich dinner packed sewed formals skirt pressed skirt ironed blouse bob go called say goodby hated leave roads beginning drift ven cold windy mr. klene brought forence mary k. back got 6 dick called calf left home grand talk unpacked took shower laid went sleep awhile wrote letters went early lots kids came visit 500 5:30 6:30 70 11:30
1945,1945_GreenDesk-0005.txt,18 day got went uptown cash check cold classes find write letters day like mad saw nest twice n't overly friendly probably good time xmas wo dates fine ruthre came took clothes met hubby goes mome f. lucky kid went house messed around went game stayed dot nots fun still lat kids ome 359th day rushed around left toledo phyllis 9:05 sat s. glomar phote taken fun felt dumb ill bet picture well hared ather kids came phyll went shopping giths food went back studid messed around came back 5:3 hus went house awhile back darm saw beat shell move intomorrow libby got blend dare dopey looking soloun town nob back rm fasa visit shower bed n't hear know 's going ask go dance boodas
1945,1945_GreenDesk-0006.txt,19 peoments 4 memorunda memoranda remonder aprontments reminder 1945 january auguary 194 january 1965 january january 195 january 195 january 1965 auguary 194 satv 75 satv tesatv satv 15twt 5 35 3 45618315 15616 10 1121 34567 4 1415 16 11 1954 111213 14 15 161 14 15 10 17 18 183 1113 14 15 1910 214 110 11 1213 14151 21 22 23 24 25 26 27 18 1920 21 22 23 24 121 22 23 24 25 26 271 18 1920 21 22 237 18 1920 21 17 18 1920 21 222 24 25 26 27 28 328 2930 3125 26 2128 124 25 26 27 28 2930 28 2930 3125 26 27 28 thursday 1 friday 11 n't get work got time breakfast woke 5till 9 dashed chem chem lab worked sweeney class 9 set tables saladikdon n't get talk foods chem ran around cool none friendly old face cream ont hair atime bart maved 's good want go dance badly 148 messed around pee one around went treble clef nest time got bin lit n't wad awhile got bert work supper went sorority n't see meeting 6:30 came back got dar bert went watch rebby first dance walked uptown hamburgs got early wrote meeting brownie scout mad house letters snowing like mad ane cute burned 1111 drive nuts 4:00 cold kids back though 500 5:30 600 830 7:00 7:30
1945,1945_GreenDesk-0007.txt,4 memoranda remonder 4 aprontments 4 memoranda 194 omember 1945 remonder january january 1965 january auguary 1949 januay 195 auguary 194 january 1965 january 1965 5 atv satut pentv satv 11 satv satutv 3 1 15 310 112 191561 31568 3 21 6 1915 16 17 18 192 10 11 1213 1415 111213 1415 16111 1213 14 15 16 14 15 16 17 18 12 1111213 1415 161 17 18 1920 21 222 21 22 23 24 25 26 27 18 1920 21 22 23 27 18 1920 21 2223 21 22 23 24 25 26 2 18 1920 21 22 23 24 24 25 26 27 28 2930 28 2930 3125 26 2728425 26 27 28 2930 28 2930 325 262728 saturday monday ax house 9 work beautiful day trees frocty invitations came back work ba snow nice meeting practice settitle saw talked little also mace work inirtations afternoon walked uptown called came 7 went shopping afree show nest coffee met sweeneysalidik walked s. snow shuffle uptown home together treble clef hamburgs onions n't know music well wanderful time 's crany home messed around finnally conecited like wist bed luck got 12 went bed right away sunday january slept till 11:30 went ax house practice sextette studied libe couple houss went church play marian sing went show hatchn rogers surely loves ax talks wgh went rm talked long time sun
1945,1945_GreenDesk-0008.txt,1945 memoranda remonder aprontments remonder memoranda japrdatment january january january 1965 january 195 may 194 january 1965 auguary 194 auguary 1944 satv satv satust tv5 sat wt 15 satutv 12 15 16 151 10 34 3618 18 1415 16 17 18 19 20 11 12 13 14 15 161 1415 16 17 18 19 20 11 11 19 18 110 11 1213 1415 21 22 23 24 25 26 27 18 1920 21 22 23 24 2122 23 24 25 26 27 18 1920 21 2223 17 18 1920 21 222 117 18 1920 21 22 2425 26 27 282930 28 2930 3125 26 27 282425 26 27 28 2930 28 29 30 325 26 27 28 wednesday tuesday 34 worked breakfash cleaned dan house see pictures room washed clothes studied went chem together 's classes go plus nice classes came swimming fust time pool went show got hambung like 's nice sorority coffee went house meeting long tiresome messed around help decorate stayed practice sextette n't tring clear home look picture proof bob stayed stided till 1:30. crawell looked pashed hair 12:30 mom sent fruit cake studied pays kibby best ate 1:30 fruit cake 20 200 2:30 2:30 30 3400 3:30 400 4:30 5:00 5:30 6:00 6:30 100 7:00 7:30
1945,1945_GreenDesk-0009.txt,rember memoranda aprontment5 194 dements 4 remonder memoranda 1945 january january january 195 january 1965 aug 1954 january 1965 mary 194 january 1965 sat 1975 satutfssatv tv satv satv satv 15616 3 1 13 35618 3156 3 1 11 151 14213 14 15 16 day 12 13 1913 11 10 11 18 19 110 1213 14 15 16 14 15 10 11 10 19 111 1213 14 15 167 6 17 18 1920 21 2223 21 22 23 24 25 26 27 18 1920 21 22 23 217 18 15 30 21 222 2223 24 25 26 27 18 1920 21 22 23 24 24 25 26 27 28 2930 28 2930 3125 26 272825 26 27 28 2930 28 2930 325 26 2728 thursday friday 3 13 got 8 studied little work got quity early went chen test chem lad fun bad either made vegetable dishes kibby went town toods strange vegetable explay classes went dentist leeks artichakes etc good shopped came back work key picture taken kibbydid n't eat dotkibby diddy went taylong freddytate womens club party went pretty good celebrate dide 's birthday came came back work treble clef back darm freddy went house danced free show ather kids records meeting till dates went bed early late rush liste home 210 bed 2:30 300 330 4:30 4:30 500 5:30 6:00 6:00 830 7:30 100 130
1945,1945_GreenDesk-0010.txt,memoranda 194 aproments memoranda remonder apeoment5 rember 1945 auguary 1949 january january 1965 january may 195 auguary 194 january 195 january 1965 15twtv5 5 17 satv tv satv 515tv satv 1 2 35618 351 561851 31561 3 113 3618 10 11 12 13 1415 16 1915 16 17 18 19 111213 14 15 161 1415 16 17 18 19 21 10 11 1213 14 15 1 1113 14 15 1917 18 1950 31 22 21 22 23 24 25 26 18 1920 21 22 23 24 17 18 1920 21 2223 21 22 23 24 25 26 27 18 1920 21 22 232 2425 26 27 28 2930 28 2930 3125 26 2728 24 25 26 27 28 2930 28 2930 325 26 27 28 saturday monday 131 got went house helped bert work slept till decorate bachoon a.m. went chem talked meeting decorate make fire fly little went libe castumes practicewith libby get home ec toods snowed foot dance went fire cold liked worked party cute notebook went treble clef lats fun meeting aftern sorority meeting got late till late came home went permit stay practice bed tired sextette came back dar n't see went rm worked 190 h. ec notbooks fine thing 130 1:30 200 30 sunday january 400 worked brks went back bed studied wrote eng typed 5:30 noon went oved house practice n't stay long dide brt went see good n't hear see 10 fine thing 1
