decade,term,mean_tfidf
1940s,went,0.05450501519050716
1940s,30,0.05300122970345764
1940s,got,0.04723914792849259
1940s,day,0.043630539925463244
1940s,18,0.03523502997143411
1940s,bud,0.03165827022428087
1940s,25,0.03111571611236559
1940s,24,0.03055864570714831
1940s,11,0.03024719022104733
1940s,home,0.03012166343258091
1940s,days,0.028988407992808378
1940s,follow,0.028920763355378302
1940s,days follow,0.028897622760944396
1940s,1949,0.02841478898312279
1940s,late,0.028093365631568556
1940s,27,0.027782289088491324
1940s,21,0.027360977048123923
1940s,26,0.026944199624105346
1940s,23,0.02665369408558493
1940s,16,0.026340948290963208
1940s,came,0.026067003230050477
1940s,17,0.02583689688593465
1940s,15,0.024776330829820507
1940s,28,0.024108891865455048
1940s,bed,0.023410467266217944
1940s,14,0.023022814910255898
1940s,22,0.022120025772921055
1940s,17 18,0.021369589751702077
1940s,24 25,0.021189394900353705
1940s,12,0.019991456680744122
