decade,term,mean_tfidf
1940s,went,0.05450501519050716
1940s,30,0.05300122970345764
1940s,got,0.04723914792849259
1940s,day,0.043630539925463244
1940s,18,0.03523502997143411
1940s,bud,0.03165827022428087
1940s,25,0.03111571611236559
1940s,24,0.03055864570714831
1940s,11,0.03024719022104733
1940s,home,0.03012166343258091
1940s,days,0.028988407992808378
1940s,follow,0.028920763355378302
1940s,days follow,0.028897622760944396
1940s,1949,0.02841478898312279
1940s,late,0.028093365631568556
1940s,27,0.027782289088491324
1940s,21,0.027360977048123923
1940s,26,0.026944199624105346
1940s,23,0.02665369408558493
1940s,16,0.026340948290963208
1940s,came,0.026067003230050477
1940s,17,0.02583689688593465
1940s,15,0.024776330829820507
1940s,28,0.024108891865455048
1940s,bed,0.023410467266217944
1940s,14,0.023022814910255898
1940s,22,0.022120025772921055
1940s,17 18,0.021369589751702077
1940s,24 25,0.021189394900353705
1940s,12,0.019991456680744122
1950s,day,0.0675971429518627
1950s,got,0.043024321989712
1950s,went,0.042454258312977826
1950s,come,0.0373540995177925
1950s,john,0.032772798743499996
1950s,came,0.029139068442880417
1950s,bud,0.02883131061792075
1950s,days,0.02876786926860695
1950s,home,0.027080077098659335
1950s,days come,0.025634536297709426
1950s,kids,0.0255629626748907
1950s,late,0.025299548520199444
1950s,bed,0.02346878381042132
1950s,cathy,0.021716826027498158
1950s,took,0.019871781123461347
1950s,sunday,0.019587713697554972
1950s,day come,0.019024771719659297
1950s,played,0.018695023956788685
1950s,early,0.01847512354273767
1950s,30,0.017367368957444354
1950s,house,0.01662832423839684
1950s,cold,0.016489858906562634
1950s,did,0.015886940765639276
1950s,watched,0.015738050652025864
1950s,cleaned,0.01567778239424349
1950s,nice,0.015537544348077616
1950s,washed,0.015493700788895903
1950s,stopped,0.015428587865526467
1950s,sewed,0.015262365450937102
1950s,dinner,0.01522832079293341
1960s,went,0.05626843177944387
1960s,day,0.05333388585781979
1960s,got,0.039916677109355175
1960s,come,0.03415352874351547
1960s,days,0.03341483489977577
1960s,home,0.03313600040772269
1960s,days come,0.03257926135997655
1960s,late,0.030433462216388513
1960s,came,0.03042178042509962
1960s,bud,0.029697374892869517
1960s,cathy,0.028985746127330823
1960s,john,0.02888491873615014
1960s,took,0.025803925855400738
1960s,kids,0.020954876088790864
1960s,bed,0.02072173634747193
1960s,dinner,0.019784352684916934
1960s,early,0.019252258409769542
1960s,sunday,0.018959628556227286
1960s,sunny,0.017817644799721668
1960s,cold,0.01735275030509215
1960s,house,0.016899210785599382
1960s,watched,0.016720686671007647
1960s,nice,0.016144068777641154
1960s,came home,0.01602145467868318
1960s,cleaned,0.015780617516945983
1960s,evening,0.015330571820692383
1960s,read,0.015328281670219204
1960s,30,0.015000469645222794
1960s,good,0.014986254075948117
1960s,picked,0.014804284478797376
1970s,went,0.05791314991041508
1970s,day,0.05724737347324585
1970s,got,0.05129497072866345
1970s,days,0.03652685045837294
1970s,home,0.035284857974751095
1970s,come,0.033340640623185765
1970s,dad,0.03213985863320717
1970s,late,0.03194912817320022
1970s,days come,0.0318069392308926
1970s,came,0.030439992968523333
1970s,cathy,0.029434854549009057
1970s,early,0.027895027726077874
1970s,called,0.02533026247263892
1970s,1973,0.023129276816177817
1970s,bed,0.022960166521672144
1970s,follow,0.022881575547437884
1970s,days follow,0.02281653313987318
1970s,took,0.022169416079059465
1970s,1972,0.021932357067596553
1970s,bud,0.02192640194371535
1970s,watched,0.02186906779206708
1970s,read,0.02104009903651103
1970s,john,0.020745934456709712
1970s,sunny,0.020743637178884933
1970s,1975,0.020674997938971804
1970s,stopped,0.020200634272806287
1970s,1970,0.019585380235187036
1970s,cold,0.019397702916203068
1970s,dinner,0.01908972704902615
1970s,sewed,0.018930262729124334
