year,word,count,total_tokens,relative_freq
1945,car,17,47248,0.0003598035895699289
1946,car,15,29770,0.0005038629492777964
1948,car,18,17975,0.0010013908205841447
1949,car,16,20485,0.0007810593116914816
1951,car,27,24254,0.0011132184381957616
1952,car,26,27488,0.0009458672875436554
1953,car,21,25236,0.0008321445553970519
1954,car,14,28533,0.0004906599376160937
1955,car,16,28176,0.0005678591709256105
1957,car,16,27577,0.0005801936396272255
1958,car,17,25191,0.0006748441903854551
1959,car,12,25467,0.0004711980209683119
1960,car,17,29078,0.000584634431528991
1961,car,21,29339,0.0007157708170012611
1962,car,16,26647,0.0006004428265846062
1963,car,16,25195,0.0006350466362373487
1964,car,23,25984,0.0008851600985221675
1965,car,23,27640,0.0008321273516642547
1966,car,14,29575,0.00047337278106508875
1967,car,2,11503,0.00017386768669042858
1968,car,18,31159,0.0005776822105972592
1969,car,26,27853,0.0009334721573977669
1970,car,49,32156,0.0015238213708172659
1972,car,35,26977,0.001297401490158283
1973,car,37,25112,0.001473399171710736
1974,car,4,2706,0.0014781966001478197
1975,car,54,32005,0.0016872363693172941
1945,church,34,47248,0.0007196071791398578
1946,church,28,29770,0.00094054417198522
1948,church,9,17975,0.0005006954102920723
1949,church,8,20485,0.0003905296558457408
1951,church,3,24254,0.00012369093757730684
1952,church,16,27488,0.0005820721769499418
1953,church,27,25236,0.0010699001426533524
1954,church,10,28533,0.00035047138401149544
1955,church,7,28176,0.00024843838727995455
1957,church,16,27577,0.0005801936396272255
1958,church,29,25191,0.0011512047953634234
1959,church,61,25467,0.002395256606588919
1960,church,73,29078,0.0025104890295068434
1961,church,61,29339,0.002079143801765568
1962,church,43,26647,0.001613690096446129
1963,church,63,25195,0.0025004961301845602
1964,church,64,25984,0.0024630541871921183
1965,church,90,27640,0.003256150506512301
1966,church,90,29575,0.003043110735418428
1967,church,41,11503,0.003564287577153786
1968,church,62,31159,0.001989794280946115
1969,church,58,27853,0.0020823609665027104
1970,church,83,32156,0.0025811668117925114
1972,church,45,26977,0.0016680876302035067
1973,church,44,25112,0.001752150366358713
1974,church,4,2706,0.0014781966001478197
1975,church,39,32005,0.0012185596000624903
1945,run,2,47248,4.232983406705046e-05
1946,run,5,29770,0.00016795431642593214
1948,run,0,17975,0.0
1949,run,4,20485,0.0001952648279228704
1951,run,1,24254,4.1230312525768946e-05
1952,run,0,27488,0.0
1953,run,0,25236,0.0
1954,run,1,28533,3.504713840114955e-05
1955,run,1,28176,3.5491198182850654e-05
1957,run,1,27577,3.6262102476701596e-05
1958,run,3,25191,0.00011909015124449208
1959,run,1,25467,3.9266501747359325e-05
1960,run,1,29078,3.439026067817594e-05
1961,run,1,29339,3.408432461910767e-05
1962,run,2,26647,7.505535332307577e-05
1963,run,2,25195,7.938082952966859e-05
1964,run,3,25984,0.00011545566502463054
1965,run,2,27640,7.23589001447178e-05
1966,run,2,29575,6.76246830092984e-05
1967,run,1,11503,8.693384334521429e-05
1968,run,3,31159,9.628036843287654e-05
1969,run,2,27853,7.180555056905899e-05
1970,run,5,32156,0.0001554919766140067
1972,run,3,26977,0.00011120584201356711
1973,run,3,25112,0.00011946479770627588
1974,run,0,2706,0.0
1975,run,4,32005,0.00012498047180128105
1945,shop,16,47248,0.0003386386725364037
1946,shop,18,29770,0.0006046355391333558
1948,shop,13,17975,0.0007232267037552156
1949,shop,10,20485,0.000488162069807176
1951,shop,8,24254,0.00032984250020615157
1952,shop,23,27488,0.0008367287543655413
1953,shop,23,25236,0.0009113964178158187
1954,shop,12,28533,0.00042056566081379455
1955,shop,20,28176,0.0007098239636570131
1957,shop,25,27577,0.00090655256191754
1958,shop,17,25191,0.0006748441903854551
1959,shop,22,25467,0.0008638630384419052
1960,shop,28,29078,0.0009629272989889263
1961,shop,17,29339,0.0005794335185248305
1962,shop,17,26647,0.000637970503246144
1963,shop,21,25195,0.0008334987100615201
1964,shop,15,25984,0.0005772783251231528
1965,shop,16,27640,0.0005788712011577424
1966,shop,32,29575,0.0010819949281487744
1967,shop,6,11503,0.0005216030600712858
1968,shop,22,31159,0.000706056035174428
1969,shop,14,27853,0.0005026388539834129
1970,shop,24,32156,0.0007463614877472322
1972,shop,15,26977,0.0005560292100678356
1973,shop,17,25112,0.00067696718700223
1974,shop,5,2706,0.0018477457501847746
1975,shop,25,32005,0.0007811279487580066
1945,tile,1,47248,2.116491703352523e-05
1946,tile,0,29770,0.0
1948,tile,0,17975,0.0
1949,tile,0,20485,0.0
1951,tile,0,24254,0.0
1952,tile,0,27488,0.0
1953,tile,0,25236,0.0
1954,tile,0,28533,0.0
1955,tile,0,28176,0.0
1957,tile,0,27577,0.0
1958,tile,0,25191,0.0
1959,tile,4,25467,0.0001570660069894373
1960,tile,0,29078,0.0
1961,tile,1,29339,3.408432461910767e-05
1962,tile,3,26647,0.00011258302998461366
1963,tile,0,25195,0.0
1964,tile,0,25984,0.0
1965,tile,1,27640,3.61794500723589e-05
1966,tile,0,29575,0.0
1967,tile,0,11503,0.0
1968,tile,0,31159,0.0
1969,tile,1,27853,3.5902775284529496e-05
1970,tile,0,32156,0.0
1972,tile,0,26977,0.0
1973,tile,0,25112,0.0
1974,tile,0,2706,0.0
1975,tile,1,32005,3.124511795032026e-05
